Category1,Category2,Spring_Rate,Spring_Case_Count
Allston/Brighton,04/26/2020 to 05/09/2020,238.8,159
Backbay/North End/Downtown,04/26/2020 to 05/09/2020,218.9,122
Boston,04/26/2020 to 05/09/2020,395.3,2686
Charlestown,04/26/2020 to 05/09/2020,180.3,35
Dorchester,04/26/2020 to 05/09/2019,1130.5,816
"Dorchester (02121, 02125)",04/26/2020 to 05/09/2020,592.7,381
"Dorchester (02122, 02124)",04/26/2020 to 05/09/2020,537.8,435
East Boston,04/26/2020 to 05/09/2020,799.1,375
Fenway,04/26/2020 to 05/09/2020,159,87
Hyde Park,04/26/2020 to 05/09/2020,488,167
Jamaica Plain,04/26/2020 to 05/09/2020,297.2,120
Mattapan,04/26/2020 to 05/09/2020,415.7,123
Roslindale,04/26/2020 to 05/09/2020,387.9,131
Roxbury,04/26/2020 to 05/09/2020,461.4,199
South Boston,04/26/2020 to 05/09/2020,182.1,73
South End,04/26/2020 to 05/09/2020,545.4,195
West Roxbury,04/26/2020 to 05/09/2020,179,51
