Category1,Category2,Fall_Rate,Fall_Case_Count
Allston/Brighton,10/04/2020 to 10/17/2020,103.6,69
Backbay/North End/Downtown,10/04/2020 to 10/17/2020,64.6,36
Boston,10/04/2020 to 10/17/2020,180.5,1226
Charlestown,10/04/2020 to 10/17/2020,113.3,22
Dorchester,10/04/2020 to 10/17/2019,503.7,357
"Dorchester (02121, 02125)",10/04/2020 to 10/17/2020,303.4,195
"Dorchester (02122, 02124)",10/04/2020 to 10/17/2020,200.3,162
East Boston,10/04/2020 to 10/17/2020,289.8,136
Fenway,10/04/2020 to 10/17/2020,84.1,46
Hyde Park,10/04/2020 to 10/17/2020,280.5,96
Jamaica Plain,10/04/2020 to 10/17/2020,170.9,69
Mattapan,10/04/2020 to 10/17/2020,141.9,42
Roslindale,10/04/2020 to 10/17/2020,148.1,50
Roxbury,10/04/2020 to 10/17/2020,289.8,125
South Boston,10/04/2020 to 10/17/2020,177.1,71
South End,10/04/2020 to 10/17/2020,170.6,61
West Roxbury,10/04/2020 to 10/17/2020,70.2,20
