"","Male:","Under 5 years","5 to 9 years","10 to 14 years","15 to 17 years","18 and 19 years","20 years","21 years","22 to 24 years","25 to 29 years","30 to 34 years","35 to 39 years","40 to 44 years","45 to 49 years","50 to 54 years","55 to 59 years","60 and 61 years","62 to 64 years","65 and 66 years","67 to 69 years","70 to 74 years","75 to 79 years","80 to 84 years","85 years and over","Female:","Under 5 years.1","5 to 9 years.1","10 to 14 years.1","15 to 17 years.1","18 and 19 years.1","20 years.1","21 years.1","22 to 24 years.1","25 to 29 years.1","30 to 34 years.1","35 to 39 years.1","40 to 44 years.1","45 to 49 years.1","50 to 54 years.1","55 to 59 years.1","60 and 61 years.1","62 to 64 years.1","65 and 66 years.1","67 to 69 years.1","70 to 74 years.1","75 to 79 years.1","80 to 84 years.1","85 years and over.1","65_both"
"02021","0.48553187961197253","3.4449879777796212E-2","3.3869496724981338E-2","3.1423596716690157E-2","1.6499461072879529E-2","1.0239615288947851E-2","3.4408423845452289E-3","5.0161678136141294E-3","9.286128845037725E-3","2.3049498383218639E-2","2.8521681452615869E-2","2.5951413647292931E-2","3.6108117071552939E-2","2.9019152640742889E-2","3.8056545891717107E-2","4.1207196749854902E-2","1.471685598209104E-2","2.6697620429483461E-2","5.6380067987729047E-3","1.222950004145593E-2","2.8438769587928028E-2","1.4799767846778869E-2","1.015670342426001E-2","6.7158610397147836E-3","0.51446812038802747","2.516375093275848E-2","2.9640991625901669E-2","3.2833098416383377E-2","1.836497802835586E-2","9.4934085067573167E-3","3.6481220462648211E-3","3.2750186551695551E-3","9.3690407097255617E-3","1.894536108117072E-2","3.6273940800928613E-2","4.0792637426415722E-2","3.7932178094685347E-2","4.468949506674405E-2","2.7195091617610481E-2","3.2998922145759058E-2","1.256114750020728E-2","2.2593483127435539E-2","9.1203051156620515E-3","2.0396318713207861E-2","1.3929193267556589E-2","2.49979272033828E-2","8.0424508747201726E-3","3.2211259431224611E-2","0.18667606334466461"
"02026","0.46993045677256201","2.9358305674095149E-2","1.9559032716927459E-2","2.524893314366999E-2","1.0431484115694639E-2","9.7202465623518249E-3","5.9664928085980716E-3","2.1337126600284501E-3","2.7106053421842899E-2","3.3862810178599649E-2","3.8406827880512091E-2","3.1452505136715672E-2","2.248300932511459E-2","3.8564880670143832E-2","3.1215425952268061E-2","3.0741267583372849E-2","6.1640587956377432E-3","2.7619724988146039E-2","1.0312944523470841E-2","1.58052789631737E-2","1.9598545914335391E-2","1.375059269796112E-2","1.0075865339023229E-2","1.0352457720878771E-2","0.53006954322743793","3.6510194404931237E-2","2.1969337758811439E-2","2.4537695590327171E-2","1.3987671882408719E-2","4.0303461356092944E-3","5.7294136241504666E-3","2.647384226331595E-3","2.785680417259365E-2","3.4890153311205943E-2","3.4850640113798008E-2","2.9042200094831671E-2","2.8568041725936459E-2","3.2479848269321952E-2","4.1133238501659557E-2","2.8409988936304729E-2","1.908487434803224E-2","2.837047573889679E-2","1.5844792160581631E-2","2.0625889046941681E-2","2.4142563616247829E-2","1.3513513513513511E-2","1.58052789631737E-2","2.603919709182867E-2","0.19586691955113006"
"02045","0.45770750988142289","2.5790513833992099E-2","1.521739130434783E-2","2.1739130434782612E-2","2.2035573122529649E-2","7.1146245059288526E-3","4.940711462450593E-3","3.458498023715415E-3","1.235177865612648E-2","1.511857707509881E-2","3.3399209486166009E-2","2.1245059288537552E-2","1.7786561264822139E-2","2.717391304347826E-2","2.5592885375494069E-2","6.3339920948616596E-2","1.758893280632411E-2","2.638339920948617E-2","1.245059288537549E-2","2.519762845849802E-2","2.4110671936758889E-2","2.2035573122529649E-2","1.017786561264822E-2","3.458498023715415E-3","0.54229249011857705","8.1027667984189724E-3","1.3043478260869559E-2","2.1442687747035571E-2","1.0276679841897229E-2","6.5217391304347823E-3","4.7430830039525704E-3","3.952569169960474E-3","1.0770750988142289E-2","3.9723320158102773E-2","3.2806324110671928E-2","1.5711462450592881E-2","1.9466403162055331E-2","3.142292490118577E-2","6.6501976284584985E-2","6.5810276679841892E-2","1.8774703557312249E-2","3.7747035573122527E-2","2.2727272727272731E-2","3.8636363636363642E-2","3.1719367588932797E-2","2.569169960474308E-2","1.2747035573122531E-2","3.952569169960474E-3","0.23290513833992094"
"02108","0.50437869822485204","4.7337278106508881E-4","0","2.840236686390532E-3","1.136094674556213E-2","4.2840236686390532E-2","6.8639053254437874E-3","1.7278106508875742E-2","5.8698224852070997E-2","3.053254437869822E-2","3.6449704142011832E-2","2.059171597633136E-2","2.4378698224852072E-2","3.7396449704142007E-2","9.7041420118343189E-3","7.0295857988165678E-2","3.502958579881657E-2","1.846153846153846E-2","9.7041420118343189E-3","1.420118343195266E-2","2.5088757396449699E-2","1.633136094674556E-2","1.5857988165680469E-2","0","0.4956213017751479","0","0","3.6449704142011832E-2","4.4970414201183431E-3","8.7337278106508875E-2","2.6508875739644971E-2","5.2071005917159767E-3","1.301775147928994E-2","7.7633136094674551E-2","3.4319526627218933E-2","2.9349112426035499E-2","6.3905325443786984E-3","2.816568047337278E-2","0","4.4733727810650888E-2","0","4.2603550295857986E-3","2.840236686390532E-3","2.6982248520710059E-2","3.3372781065088758E-2","2.4142011834319532E-2","2.6035502958579879E-3","7.8106508875739654E-3","0.17893491124260355"
"02109","0.49021229666390959","8.271298593879239E-3","5.7899090157154673E-3","1.3785497656465401E-3","8.271298593879239E-4","1.654259718775848E-3","1.654259718775848E-3","5.5141990625861594E-3","1.9023986765922249E-2","0.12710228839261101","5.0179211469534052E-2","6.2310449407223599E-2","1.4336917562724011E-2","3.6118003859939338E-2","2.1229666390956709E-2","3.9702233250620347E-2","1.929969671905156E-3","2.950096498483595E-2","1.929969671905156E-3","5.5141990625861594E-3","3.1982354562999728E-2","6.8927488282326992E-3","1.0476978218913699E-2","6.8927488282326992E-3","0.50978770333609047","2.5916735594154951E-2","2.6468155500413561E-2","2.2056796250344642E-3","0","0","0","4.6870692031982346E-3","1.268265784394817E-2","0.13399503722084369","4.521643231320651E-2","4.3010752688172053E-2","2.8122415219189411E-2","2.0126826578439481E-2","1.6542597187758482E-2","4.2459332781913432E-2","1.8472566859663631E-2","7.9955886407499319E-3","1.1579818031430929E-2","1.3234077750206781E-2","3.0603804797353189E-2","1.075268817204301E-2","5.7899090157154673E-3","9.9255583126550868E-3","0.14557485525227459"
"02110","0.47377546597312531","7.3688773298656264E-3","7.3688773298656264E-3","7.3688773298656264E-3","0","0","0","1.30039011703511E-2","6.5019505851755524E-3","5.9817945383615082E-2","1.6905071521456441E-2","1.387082791504118E-2","3.8144776766363242E-2","2.7308192457737319E-2","2.600780234070221E-2","4.0312093628088429E-2","1.30039011703511E-2","2.1239705244906801E-2","2.5574338968357171E-2","8.5825747724317294E-2","2.9475509319462509E-2","2.9908972691807541E-2","4.7680970957954052E-3","0","0.52622453402687475","2.47074122236671E-2","1.1703511053316001E-2","2.0806241872561769E-2","0","1.1703511053316001E-2","0","0","0","4.7247507585609007E-2","2.5574338968357171E-2","3.8144776766363242E-2","2.6441265713047252E-2","4.0312093628088429E-2","4.0312093628088429E-2","2.81751192024274E-2","0","2.1239705244906801E-2","7.5422626788036407E-2","2.4273948851322062E-2","3.2076289553532727E-2","3.4677069787602953E-2","0","2.3407022106631991E-2","0.36540962288686607"
"02111","0.45823236832036729","2.3083790332865711E-2","1.224333630914424E-2","1.4666496620329039E-2","3.0608340772860601E-3","4.7825532457594702E-2","1.5176635633210049E-2","2.2828720826425199E-2","2.9077923734217571E-2","4.4764698380308637E-2","3.9280703991837779E-2","2.563448539727076E-2","2.563448539727076E-2","2.448667261828848E-2","1.7854865450835349E-2","3.0480806019640351E-2","6.2492029077923731E-3","1.313607958168601E-2","3.6985078433873228E-3","1.5814309399311308E-2","1.084045402372146E-2","1.3263614334906261E-2","4.2086468562683331E-3","1.492156612676955E-2","0.54176763167963271","3.2776431577604903E-2","2.6782298176253029E-2","1.951281724269863E-2","8.1622242060961619E-3","5.1013901288101009E-2","2.027802576202015E-2","1.6834587425073329E-2","1.5559239892870809E-2","7.0781788037240154E-2","3.5199591888789697E-2","2.8185180461675809E-2","1.9640351995918889E-2","3.596480040811121E-2","2.920545848743783E-2","1.708965693151384E-2","1.313607958168601E-2","4.2086468562683331E-3","6.7593419206733833E-3","1.7982400204055601E-2","1.74722611911746E-2","1.2370871062364491E-2","1.925774773625813E-2","2.3593929345746719E-2","0.16018365004463714"
"02113","0.455842997323818","5.947071067499257E-3","6.2444246208742194E-3","2.2301516503122208E-3","1.6354445435622961E-3","0","2.2301516503122208E-3","3.4195658638120721E-3","6.8093963722866482E-2","0.12637526018435921","0.1086827237585489","4.177817424918228E-2","1.590841510556051E-2","4.906333630686887E-3","1.2786202795123399E-2","9.3666369313113295E-3","4.1629497472494793E-3","1.1299435028248589E-2","6.5417781742491826E-3","4.6089800773119237E-3","6.6904549509366638E-3","8.3258994944989586E-3","2.0814748736247401E-3","2.5275052036871841E-3","0.54415700267618194","2.0368718406184951E-2","3.5682426404995541E-3","0","0","0","3.8655961938745169E-3","2.6761819803746648E-3","0.1186440677966102","0.1433244127267321","7.2851620576865894E-2","6.2444246208742192E-2","1.1299435028248589E-2","1.159678858162355E-2","1.293487957181088E-2","1.9625334522747551E-2","2.378828426999702E-3","1.4124293785310729E-2","2.378828426999702E-3","1.635444543562296E-2","9.6639904846862919E-3","1.100208147487363E-2","1.486767766874814E-3","3.5682426404995541E-3","7.5230449003865607E-2"
"02114","0.53510932019998503","2.164017610626073E-2","2.0446235355570479E-2","6.8651593164689214E-3","1.2685620476083871E-3","8.9545556301768529E-4","1.193940750690247E-3","5.5219759719423922E-3","2.0968584433997461E-2","0.11521528244160879","9.4992910976792772E-2","4.7086038355346617E-2","2.3281844638459819E-2","3.1788672487127828E-2","2.9923140064174319E-2","3.8504589209760458E-2","8.8799343332587113E-3","1.193940750690247E-2","9.2530408178494138E-3","1.470039549287367E-2","1.1043951943884781E-2","1.0372360271621519E-2","3.8056861428251618E-3","5.5219759719423922E-3","0.46489067980001492","5.6712185657786726E-3","4.2534139243340053E-3","6.4174315349600766E-3","9.7007685993582577E-3","6.1935676442056564E-3","3.731064845907022E-3","7.0890232072233416E-3","2.298335945078725E-2","8.8724722035668974E-2","8.3277367360644727E-2","5.1488694873516899E-2","1.8506081635698831E-2","3.1937915080964108E-2","2.134169091858816E-2","1.8655324229535111E-2","1.059622416237594E-2","1.470039549287367E-2","0","1.5148123274382509E-2","2.0744720543243039E-2","1.2536377882247591E-2","7.6859935825684652E-3","3.5072009551526001E-3","0.11431982687859114"
"02115","0.49031828845547809","6.8629853986484123E-3","7.4932595679120424E-3","6.6879092405196256E-3","6.1976959977590252E-3","0.1413915053048076","4.4959557407472248E-2","3.6555901817290522E-2","4.4644420322840439E-2","5.9560908995412998E-2","3.1163556146923909E-2","1.4706397282818031E-2","9.6291886970832317E-3","6.0226198396302394E-3","1.2150285374137751E-2","1.3270772786161979E-2","3.2564165411954199E-3","7.0380615567771981E-3","4.9371476592317658E-3","9.1389754543226304E-3","9.3140516124514162E-3","6.5828635456423546E-3","6.6528940088938686E-3","2.1009138975454319E-3","0.50968171154452191","7.0380615567771981E-3","6.1276655345075112E-3","8.5787317483105151E-3","7.6683357260408274E-3","0.13207745369235621","5.7424979866241822E-2","3.7361252144682937E-2","5.014181168808432E-2","3.7851465387443543E-2","4.0442592527749573E-2","2.1954550229349772E-2","9.4190973073286881E-3","1.3620925102419549E-2","1.0959767498862001E-2","1.348086417591652E-2","3.1863860779439051E-3","4.3769039532196496E-3","5.3223152071150952E-3","8.753807906439301E-3","9.9793410133408034E-3","4.5169648797226793E-3","7.2831681781574988E-3","1.2115270142511989E-2","8.6697713505374835E-2"
